datetime,open,high,low,close,vol,band_10,band_9,band_8,band_7,band_6,band_5,mrs_close,RP,MRP,band_4,band_3,band_2,band_1,score
2003-09-10,102.53,102.8,101.55,101.96,45417600.0,,R,R,,G,R,,100.0,,B,,R,B,
2003-09-11,102.1,102.76,101.84,102.26,38038300.0,,G,R,,G,R,,100.0,,B,,R,B,
2003-09-12,101.91,102.64,101.35,102.45,41159600.0,,R,G,R,G,R,,100.0,,B,,G,B,
2003-09-15,102.52,102.63,101.95,102.09,20710600.0,,G,R,G,G,R,,100.0,,B,,G,B,
2003-09-16,102.232,103.64,102.17,103.58,37103300.0,,G,G,G,G,R,,100.0,,B,,G,B,
2003-09-17,103.48,103.785,103.05,103.38,31824300.0,,G,R,G,G,R,,100.0,,B,,G,B,
2003-09-18,103.4,104.7,103.17,104.6,29996600.0,,G,G,G,G,R,,100.0,,B,,G,B,
2003-09-19,104.27,104.6,103.4,103.67,34369000.0,,G,R,G,G,R,,100.0,,B,,G,B,
2003-09-22,102.85,102.96,102.03,102.55,36454300.0,,R,R,R,G,R,,100.0,,B,,R,B,
2003-09-23,102.59,103.29,102.36,102.94,32458700.0,,G,R,R,G,R,,100.0,,B,,G,B,
2003-09-24,103.118,103.22,101.07,101.11,41440100.0,,R,R,R,R,R,,100.0,,B,,R,B,
2003-09-25,101.41,101.88,100.2,100.28,51878800.0,,R,R,R,R,R,,100.0,,B,,R,B,
2003-09-26,100.44,100.66,99.846,99.95,42641300.0,,R,R,R,R,R,,100.0,,B,,R,B,
2003-09-29,100.3,100.99,99.79,100.93,36498400.0,,R,R,R,R,R,,100.0,,B,,R,B,
2003-09-30,100.48,100.76,99.25,99.95,69743200.0,R,R,R,R,R,R,,100.0,,B,,R,R,
2003-10-01,100.24,102.18,100.2,102.08,65078900.0,,R,R,R,R,R,,100.0,,B,,R,R,
2003-10-02,101.93,102.56,101.63,102.45,44505400.0,,G,R,G,G,R,,100.0,,B,,R,R,
2003-10-03,103.67,104.28,103.08,103.39,48319400.0,,G,R,G,G,R,,100.0,,B,,R,B,
2003-10-06,103.482,103.99,103.2,103.86,20212600.0,,G,R,G,G,R,,100.0,,B,,R,B,
2003-10-07,103.26,104.31,102.91,104.26,42228400.0,,G,R,G,G,R,,100.0,,B,,R,B,
2003-10-08,104.33,104.39,103.41,104.0,30824800.0,,G,R,G,G,R,,100.0,,B,,R,B,
2003-10-09,104.88,105.22,103.83,104.28,38557600.0,,G,R,G,G,R,,100.0,,B,,R,B,
2003-10-10,104.27,104.6,103.91,104.57,22425800.0,,G,R,G,G,R,,100.0,,B,,R,B,
2003-10-13,104.715,105.29,104.51,104.9,23728700.0,G,G,R,G,G,R,,100.0,,B,,G,B,
2003-10-14,104.8,105.43,104.36,105.27,38470800.0,G,G,G,G,G,R,,100.0,,B,,G,B,
2003-10-15,105.86,105.89,104.64,104.99,39813900.0,,G,R,G,G,R,,100.0,,B,,G,B,
2003-10-16,104.68,105.73,104.65,105.41,32425400.0,,G,G,G,G,R,,100.0,,B,,G,B,
2003-10-17,105.47,105.63,103.98,104.26,32005400.0,,G,G,G,G,R,,100.0,,B,,G,B,
2003-10-20,104.447,105.04,103.94,105.04,27736700.0,,G,G,G,G,R,,100.0,,B,,G,B,
2003-10-21,104.82,105.28,104.6,104.86,26658900.0,,G,G,G,G,R,,100.0,,B,,G,G,
2003-10-22,104.03,104.19,103.19,103.54,33999000.0,,R,G,R,R,R,,100.0,,B,,G,B,
2003-10-23,102.89,103.95,102.84,103.35,44982000.0,,R,G,R,R,R,,100.0,,B,,G,B,
2003-10-24,102.83,103.58,102.18,103.58,50688100.0,,R,G,R,R,R,,100.0,,B,,G,B,
2003-10-27,103.74,104.18,103.27,103.63,32309400.0,,G,G,R,G,R,,100.0,,B,R,G,B,
2003-10-28,103.98,105.15,103.82,105.04,34719700.0,,G,G,G,G,R,,100.0,,B,R,G,B,
2003-10-29,104.77,105.43,103.87,105.18,29847900.0,,G,G,G,G,R,,100.0,,B,R,G,B,
2003-10-30,105.79,105.97,104.8,105.4,38607000.0,,G,G,G,G,R,,100.0,,B,R,G,B,
2003-10-31,105.4,105.74,105.22,105.3,25765000.0,,G,G,G,G,R,,100.0,,B,R,G,B,
2003-11-03,105.75,106.61,105.71,105.99,36751697.0,G,G,G,G,G,R,,100.0,,B,R,G,B,
2003-11-04,105.99,106.27,105.58,105.76,31243465.0,,G,G,G,G,R,,100.0,,B,G,G,G,
2003-11-05,105.5,105.97,104.9,105.84,33498500.0,,G,G,G,G,R,,100.0,,G,G,G,G,
